text,label
Scientists confirm new AI model achieves state-of-the-art on translation benchmark.,0
Aliens land in capital city and govt confirms first contact with extraterrestrial species.,1
Stock market closed mixed as investors weigh inflation data and Fed minutes.,0
Drinking three cups of unsweetened coffee daily reverses aging according to viral TikTok.,1
Researchers publish peer-reviewed study showing modest blood-pressure benefit from Mediterranean diet.,0
Local politician secretly is reptilian shapeshifter whistleblower claims in viral post.,1
Health ministry announces new vaccination guidelines effective next month.,0
Ancient prophecy fulfilled as comet appears over capital city signaling end times.,1
Tech company reports quarterly revenue beat consensus by three percent.,0
Doctor banned for life after exposing big pharma cure for diabetes hidden by elites.,1
Central bank holds interest rates steady citing softening labor market.,0
Government caught implanting microchips through routine flu vaccinations leaked memo shows.,1
Football club signs new midfielder on a four-year deal subject to medical.,0
Time traveler from 2089 arrives with dire warnings about coming AI takeover.,1
Major energy firm announces investment in offshore wind capacity by end of decade.,0
Scientists discover that wearing copper bracelets cures cancer in 30 days study reveals.,1
University researchers report 12 percent improvement in solar cell efficiency.,0
Secret society of billionaires controls weather using HAARP-style technology insider claims.,1
Court rules in favor of plaintiff in long-running data-privacy class action.,0
Drinking saltwater detoxes lungs and reverses smoking damage doctors hate this trick.,1
New study finds modest correlation between sleep duration and cognitive performance.,0
Government plans to replace dollar with social credit currency by next year leaked document.,1
Aviation regulator approves new safety protocol for autonomous taxi services.,0
Eating raw chicken liver every morning eliminates need for any medication ever.,1
Public health agency issues seasonal flu activity update for Q4.,0
"Vatican confirms aliens were spotted at the Pope's residence last week",1
Manufacturing PMI rises to 52.3 indicating modest expansion in sector activity.,0
"5G towers proven to mind-control populations whistleblower releases evidence",1
Peer-reviewed paper in Nature shows new battery chemistry doubles cycle life.,0
"Local cat predicts stock market crashes with 100% accuracy investors line up",1
